#WORD	NN	VB	JJ	RB	DT	IN	OT
what	0.000	0.000	0.000	0.000	0.000	0.000	1.000
its	0.000	0.000	0.000	0.000	1.000	0.000	0.000
them	0.000	0.000	0.000	0.000	0.000	0.000	1.000
into	0.000	0.000	0.000	0.000	0.000	1.000	0.000
can	0.004	0.001	0.000	0.000	0.000	0.000	0.995
up	0.000	0.000	0.000	0.906	0.000	0.094	0.000
other	0.000	0.000	0.000	0.000	0.000	0.000	1.000
out	0.000	0.000	0.000	0.783	0.000	0.217	0.000
could	0.000	0.000	0.000	0.000	0.000	0.000	1.000
some	0.000	0.000	0.000	0.014	0.000	0.000	0.986
these	0.000	0.000	0.000	0.000	0.000	0.000	1.000
time	0.999	0.001	0.000	0.000	0.000	0.000	0.000
:	0.001	0.000	0.000	0.000	0.000	0.013	0.987
so	0.000	0.000	0.000	0.289	0.000	0.000	0.711
two	0.000	0.000	0.000	0.000	0.000	0.000	1.000
only	0.000	0.000	0.003	0.777	0.000	0.000	0.220
do	0.001	0.999	0.000	0.000	0.000	0.000	0.000
then	0.000	0.000	0.019	0.980	0.000	0.000	0.001
any	0.000	0.000	0.000	0.001	0.000	0.000	0.999
now	0.000	0.000	0.000	1.000	0.000	0.000	0.000
my	0.002	0.000	0.000	0.000	0.997	0.000	0.002
may	0.065	0.000	0.000	0.000	0.000	0.000	0.935
than	0.000	0.000	0.000	0.000	0.000	0.278	0.722
about	0.000	0.000	0.000	0.317	0.000	0.683	0.000
our	0.000	0.000	0.000	0.000	1.000	0.000	0.000
me	0.000	0.000	0.000	0.000	0.000	0.000	1.000
man	0.997	0.003	0.000	0.000	0.000	0.000	0.001
most	0.000	0.000	0.000	0.029	0.000	0.000	0.971
made	0.000	1.000	0.000	0.000	0.000	0.000	0.000
also	0.000	0.000	0.000	1.000	0.000	0.000	0.000
new	0.000	0.000	1.000	0.000	0.000	0.000	0.000
did	0.000	1.000	0.000	0.000	0.000	0.000	0.000
many	0.000	0.000	0.000	0.000	0.000	0.000	1.000
like	0.000	0.163	0.028	0.000	0.000	0.025	0.784
must	0.004	0.000	0.000	0.000	0.000	0.000	0.996
even	0.000	0.024	0.021	0.853	0.000	0.000	0.102
af	1.000	0.000	0.000	0.000	0.000	0.000	0.000
first	0.000	0.000	0.000	0.251	0.000	0.000	0.749
such	0.000	0.000	0.751	0.000	0.000	0.000	0.249
years	1.000	0.000	0.000	0.000	0.000	0.000	0.000
where	0.000	0.000	0.000	0.000	0.000	0.000	1.000
your	0.000	0.000	0.000	0.000	1.000	0.000	0.000
through	0.000	0.000	0.000	0.063	0.000	0.937	0.000
should	0.000	0.000	0.000	0.000	0.000	0.000	1.000
way	0.990	0.000	0.000	0.003	0.000	0.000	0.007
each	0.000	0.000	0.000	0.000	0.000	0.000	1.000
those	0.000	0.000	0.000	0.000	0.000	0.000	1.000
over	0.000	0.000	0.002	0.318	0.000	0.680	0.000
mr.	1.000	0.000	0.000	0.000	0.000	0.000	0.000
people	0.998	0.002	0.000	0.000	0.000	0.000	0.000
how	0.000	0.000	0.000	0.000	0.000	0.000	1.000
very	0.000	0.000	0.001	0.000	0.000	0.000	0.999
make	0.004	0.996	0.000	0.000	0.000	0.000	0.000
just	0.000	0.000	0.024	0.903	0.000	0.000	0.073
see	0.000	0.999	0.000	0.000	0.000	0.000	0.001
men	1.000	0.000	0.000	0.000	0.000	0.000	0.000
own	0.000	0.028	0.972	0.000	0.000	0.000	0.000
get	0.000	1.000	0.000	0.000	0.000	0.000	0.000
here	0.000	0.000	0.000	1.000	0.000	0.000	0.000
back	0.185	0.026	0.028	0.761	0.000	0.000	0.000
both	0.000	0.000	0.000	0.000	0.000	0.000	1.000
between	0.000	0.000	0.000	0.001	0.000	0.999	0.000
still	0.004	0.003	0.031	0.926	0.000	0.000	0.037
much	0.000	0.000	0.000	0.228	0.000	0.000	0.772
good	0.076	0.000	0.907	0.016	0.000	0.000	0.000
because	0.000	0.000	0.000	0.195	0.000	0.000	0.805
after	0.000	0.000	0.000	0.010	0.000	0.654	0.336
down	0.001	0.002	0.001	0.780	0.000	0.215	0.000
never	0.000	0.000	0.000	0.996	0.000	0.000	0.004
under	0.000	0.000	0.003	0.020	0.000	0.977	0.000
world	1.000	0.000	0.000	0.000	0.000	0.000	0.000
same	0.000	0.000	0.000	0.000	0.000	0.000	1.000
another	0.000	0.000	0.000	0.000	0.000	0.000	1.000
being	0.038	0.962	0.000	0.000	0.000	0.000	0.000
life	1.000	0.000	0.000	0.000	0.000	0.000	0.000
know	0.004	0.996	0.000	0.000	0.000	0.000	0.000
us	0.006	0.000	0.000	0.000	0.000	0.000	0.994
might	0.018	0.000	0.000	0.000	0.000	0.000	0.982
well	0.019	0.004	0.016	0.730	0.000	0.000	0.230
year	1.000	0.000	0.000	0.000	0.000	0.000	0.000
day	1.000	0.000	0.000	0.000	0.000	0.000	0.000
against	0.000	0.000	0.000	0.003	0.000	0.997	0.000
come	0.000	1.000	0.000	0.000	0.000	0.000	0.000
came	0.000	1.000	0.000	0.000	0.000	0.000	0.000
go	0.002	0.998	0.000	0.000	0.000	0.000	0.000
used	0.000	1.000	0.000	0.000	0.000	0.000	0.000
last	0.012	0.034	0.000	0.048	0.000	0.000	0.906
take	0.007	0.993	0.000	0.000	0.000	0.000	0.000
few	0.000	0.000	0.000	0.000	0.000	0.000	1.000
himself	0.000	0.000	0.000	0.000	0.000	0.000	1.000
great	0.000	0.000	0.974	0.002	0.000	0.000	0.024
while	0.115	0.003	0.000	0.000	0.000	0.000	0.882
three	0.000	0.000	0.000	0.000	0.000	0.000	1.000
during	0.000	0.000	0.000	0.000	0.000	1.000	0.000
old	0.000	0.000	1.000	0.000	0.000	0.000	0.000
work	0.764	0.236	0.000	0.000	0.000	0.000	0.000
without	0.000	0.000	0.000	0.000	0.000	1.000	0.000
again	0.000	0.000	0.000	1.000	0.000	0.000	0.000
too	0.000	0.000	0.000	0.341	0.000	0.000	0.659
found	0.000	1.000	0.000	0.000	0.000	0.000	0.000
mrs.	1.000	0.000	0.000	0.000	0.000	0.000	0.000
state	0.964	0.036	0.000	0.000	0.000	0.000	0.000
home	0.998	0.002	0.000	0.000	0.000	0.000	0.000
long	0.011	0.004	0.713	0.261	0.000	0.000	0.011
small	0.010	0.000	0.990	0.000	0.000	0.000	0.000
little	0.001	0.000	0.357	0.006	0.000	0.000	0.635
went	0.000	1.000	0.000	0.000	0.000	0.000	0.000
every	0.000	0.000	0.000	0.000	0.000	0.000	1.000
don't	0.000	1.000	0.000	0.000	0.000	0.000	0.000
say	0.008	0.962	0.000	0.000	0.000	0.000	0.030
off	0.000	0.000	0.000	0.754	0.000	0.246	0.000
got	0.000	1.000	0.000	0.000	0.000	0.000	0.000
place	0.865	0.135	0.000	0.000	0.000	0.000	0.000
part	0.994	0.006	0.000	0.000	0.000	0.000	0.000
does	0.000	1.000	0.000	0.000	0.000	0.000	0.000
course	1.000	0.000	0.000	0.000	0.000	0.000	0.000
number	0.996	0.004	0.000	0.000	0.000	0.000	0.000
always	0.000	0.000	0.000	0.996	0.000	0.000	0.004
away	0.000	0.000	0.000	1.000	0.000	0.000	0.000
something	0.000	0.000	0.000	0.000	0.000	0.000	1.000
upon	0.000	0.000	0.000	0.089	0.000	0.911	0.000
before	0.000	0.000	0.000	0.158	0.000	0.401	0.441
fact	1.000	0.000	0.000	0.000	0.000	0.000	0.000
put	0.000	1.000	0.000	0.000	0.000	0.000	0.000
think	0.000	1.000	0.000	0.000	0.000	0.000	0.000
took	0.000	1.000	0.000	0.000	0.000	0.000	0.000
water	0.998	0.002	0.000	0.000	0.000	0.000	0.000
enough	0.000	0.000	0.000	0.014	0.000	0.000	0.986
high	0.021	0.000	0.906	0.073	0.000	0.000	0.000
american	0.067	0.000	0.933	0.000	0.000	0.000	0.000
since	0.000	0.000	0.000	0.046	0.000	0.287	0.667
hand	0.981	0.019	0.000	0.000	0.000	0.000	0.000
less	0.000	0.000	0.000	0.044	0.000	0.000	0.956
once	0.000	0.000	0.000	0.836	0.000	0.000	0.164
thought	0.199	0.801	0.000	0.000	0.000	0.000	0.000
school	0.990	0.010	0.000	0.000	0.000	0.000	0.000
told	0.000	1.000	0.000	0.000	0.000	0.000	0.000
nothing	0.000	0.000	0.000	0.000	0.000	0.000	1.000
though	0.000	0.002	0.000	0.073	0.000	0.000	0.925
head	0.960	0.031	0.010	0.000	0.000	0.000	0.000
however	0.000	0.000	0.000	0.728	0.000	0.000	0.272
called	0.000	1.000	0.000	0.000	0.000	0.000	0.000
didn't	0.000	1.000	0.000	0.000	0.000	0.000	0.000
night	1.000	0.000	0.000	0.000	0.000	0.000	0.000
asked	0.000	1.000	0.000	0.000	0.000	0.000	0.000
find	0.007	0.993	0.000	0.000	0.000	0.000	0.000
why	0.000	0.000	0.000	0.000	0.000	0.000	1.000
going	0.008	0.992	0.000	0.000	0.000	0.000	0.000
eyes	1.000	0.000	0.000	0.000	0.000	0.000	0.000
knew	0.000	1.000	0.000	0.000	0.000	0.000	0.000
system	1.000	0.000	0.000	0.000	0.000	0.000	0.000
house	0.977	0.023	0.000	0.000	0.000	0.000	0.000
give	0.005	0.995	0.000	0.000	0.000	0.000	0.000
toward	0.000	0.000	0.000	0.000	0.000	1.000	0.000
group	0.990	0.010	0.000	0.000	0.000	0.000	0.000
days	1.000	0.000	0.000	0.000	0.000	0.000	0.000
several	0.000	0.000	0.000	0.000	0.000	0.000	1.000
let	0.018	0.982	0.000	0.000	0.000	0.000	0.000
given	0.000	1.000	0.000	0.000	0.000	0.000	0.000
possible	0.000	0.000	1.000	0.000	0.000	0.000	0.000
per	0.000	0.000	0.000	0.000	0.000	1.000	0.000
among	0.000	0.000	0.000	0.000	0.000	1.000	0.000
often	0.000	0.000	0.000	1.000	0.000	0.000	0.000
important	0.000	0.000	1.000	0.000	0.000	0.000	0.000
program	0.987	0.013	0.000	0.000	0.000	0.000	0.000
looked	0.000	1.000	0.000	0.000	0.000	0.000	0.000
room	0.997	0.003	0.000	0.000	0.000	0.000	0.000
side	0.984	0.000	0.016	0.000	0.000	0.000	0.000
young	0.024	0.000	0.976	0.000	0.000	0.000	0.000
things	1.000	0.000	0.000	0.000	0.000	0.000	0.000
social	0.003	0.000	0.997	0.000	0.000	0.000	0.000
become	0.000	1.000	0.000	0.000	0.000	0.000	0.000
business	1.000	0.000	0.000	0.000	0.000	0.000	0.000
end	0.900	0.100	0.000	0.000	0.000	0.000	0.000
felt	0.003	0.997	0.000	0.000	0.000	0.000	0.000
large	0.006	0.000	0.981	0.014	0.000	0.000	0.000
case	0.994	0.006	0.000	0.000	0.000	0.000	0.000
use	0.607	0.393	0.000	0.000	0.000	0.000	0.000
within	0.000	0.000	0.000	0.022	0.000	0.978	0.000
point	0.931	0.069	0.000	0.000	0.000	0.000	0.000
four	0.000	0.000	0.000	0.000	0.000	0.000	1.000
saw	0.011	0.989	0.000	0.000	0.000	0.000	0.000
children	1.000	0.000	0.000	0.000	0.000	0.000	0.000
later	0.000	0.000	0.139	0.861	0.000	0.000	0.000
order	0.953	0.047	0.000	0.000	0.000	0.000	0.000
least	0.003	0.000	0.000	0.003	0.000	0.000	0.994
left	0.145	0.712	0.143	0.000	0.000	0.000	0.000
ever	0.000	0.000	0.000	0.980	0.000	0.000	0.020
until	0.000	0.000	0.000	0.000	0.000	0.269	0.731
seemed	0.000	1.000	0.000	0.000	0.000	0.000	0.000
1	0.003	0.000	0.000	0.000	0.000	0.000	0.997
around	0.000	0.000	0.000	0.419	0.000	0.581	0.000
thing	1.000	0.000	0.000	0.000	0.000	0.000	0.000
power	0.994	0.006	0.000	0.000	0.000	0.000	0.000
interest	0.991	0.009	0.000	0.000	0.000	0.000	0.000
set	0.211	0.789	0.000	0.000	0.000	0.000	0.000
although	0.000	0.000	0.000	0.000	0.000	0.000	1.000
second	0.075	0.000	0.000	0.033	0.000	0.000	0.892
others	1.000	0.000	0.000	0.000	0.000	0.000	0.000
turned	0.000	1.000	0.000	0.000	0.000	0.000	0.000
big	0.003	0.000	0.997	0.000	0.000	0.000	0.000
face	0.862	0.138	0.000	0.000	0.000	0.000	0.000
area	1.000	0.000	0.000	0.000	0.000	0.000	0.000
done	0.000	1.000	0.000	0.000	0.000	0.000	0.000
members	1.000	0.000	0.000	0.000	0.000	0.000	0.000
want	0.028	0.972	0.000	0.000	0.000	0.000	0.000
family	1.000	0.000	0.000	0.000	0.000	0.000	0.000
began	0.000	1.000	0.000	0.000	0.000	0.000	0.000
different	0.000	0.000	1.000	0.000	0.000	0.000	0.000
door	1.000	0.000	0.000	0.000	0.000	0.000	0.000
country	1.000	0.000	0.000	0.000	0.000	0.000	0.000
problem	1.000	0.000	0.000	0.000	0.000	0.000	0.000
development	1.000	0.000	0.000	0.000	0.000	0.000	0.000
perhaps	0.000	0.000	0.000	1.000	0.000	0.000	0.000
john	1.000	0.000	0.000	0.000	0.000	0.000	0.000
itself	0.000	0.000	0.000	0.000	0.000	0.000	1.000
next	0.000	0.000	0.000	0.118	0.000	0.107	0.775
look	0.241	0.759	0.000	0.000	0.000	0.000	0.000
war	0.997	0.003	0.000	0.000	0.000	0.000	0.000
form	0.855	0.145	0.000	0.000	0.000	0.000	0.000
it's	0.000	1.000	0.000	0.000	0.000	0.000	0.000
sense	0.968	0.032	0.000	0.000	0.000	0.000	0.000
thus	0.000	0.000	0.000	0.961	0.000	0.000	0.039
kind	0.949	0.000	0.051	0.000	0.000	0.000	0.000
general	0.064	0.000	0.936	0.000	0.000	0.000	0.000
action	1.000	0.000	0.000	0.000	0.000	0.000	0.000
best	0.009	0.003	0.833	0.147	0.000	0.000	0.009
mind	0.883	0.117	0.000	0.000	0.000	0.000	0.000
example	1.000	0.000	0.000	0.000	0.000	0.000	0.000
whether	0.000	0.000	0.000	0.000	0.000	0.000	1.000
gave	0.000	1.000	0.000	0.000	0.000	0.000	0.000
hands	1.000	0.000	0.000	0.000	0.000	0.000	0.000
feet	1.000	0.000	0.000	0.000	0.000	0.000	0.000
yet	0.000	0.000	0.000	0.675	0.000	0.000	0.325
today	1.000	0.000	0.000	0.000	0.000	0.000	0.000
line	0.986	0.014	0.000	0.000	0.000	0.000	0.000
matter	0.918	0.082	0.000	0.000	0.000	0.000	0.000
taken	0.000	1.000	0.000	0.000	0.000	0.000	0.000
anything	0.000	0.000	0.000	0.000	0.000	0.000	1.000
law	1.000	0.000	0.000	0.000	0.000	0.000	0.000
seen	0.000	1.000	0.000	0.000	0.000	0.000	0.000
having	0.000	1.000	0.000	0.000	0.000	0.000	0.000
almost	0.000	0.000	0.000	0.638	0.000	0.000	0.362
local	0.021	0.000	0.979	0.000	0.000	0.000	0.000
god	0.993	0.000	0.000	0.000	0.000	0.000	0.007
government	1.000	0.000	0.000	0.000	0.000	0.000	0.000
history	1.000	0.000	0.000	0.000	0.000	0.000	0.000
body	1.000	0.000	0.000	0.000	0.000	0.000	0.000
public	0.332	0.000	0.668	0.000	0.000	0.000	0.000
already	0.000	0.000	0.000	0.993	0.000	0.000	0.007
car	1.000	0.000	0.000	0.000	0.000	0.000	0.000
themselves	0.000	0.000	0.000	0.000	0.000	0.000	1.000
words	1.000	0.000	0.000	0.000	0.000	0.000	0.000
i'm	0.000	1.000	0.000	0.000	0.000	0.000	0.000
quite	0.000	0.000	0.000	0.053	0.000	0.000	0.947
shall	0.000	0.000	0.000	0.000	0.000	0.000	1.000
death	1.000	0.000	0.000	0.000	0.000	0.000	0.000
together	0.000	0.000	0.000	1.000	0.000	0.000	0.000
money	1.000	0.000	0.000	0.000	0.000	0.000	0.000
five	0.000	0.000	0.000	0.000	0.000	0.000	1.000
information	1.000	0.000	0.000	0.000	0.000	0.000	0.000
period	1.000	0.000	0.000	0.000	0.000	0.000	0.000
word	1.000	0.000	0.000	0.000	0.000	0.000	0.000
city	1.000	0.000	0.000	0.000	0.000	0.000	0.000
tell	0.000	1.000	0.000	0.000	0.000	0.000	0.000
times	0.985	0.004	0.000	0.000	0.000	0.011	0.000
human	0.121	0.000	0.879	0.000	0.000	0.000	0.000
probably	0.000	0.000	0.000	1.000	0.000	0.000	0.000
held	0.000	1.000	0.000	0.000	0.000	0.000	0.000
seems	0.000	1.000	0.000	0.000	0.000	0.000	0.000
cannot	0.000	0.000	0.000	0.000	0.000	0.000	1.000
experience	0.935	0.065	0.000	0.000	0.000	0.000	0.000
whole	0.162	0.000	0.838	0.000	0.000	0.000	0.000
keep	0.012	0.988	0.000	0.000	0.000	0.000	0.000
political	0.000	0.000	1.000	0.000	0.000	0.000	0.000
week	1.000	0.000	0.000	0.000	0.000	0.000	0.000
across	0.000	0.000	0.000	0.086	0.000	0.914	0.000
name	0.924	0.076	0.000	0.000	0.000	0.000	0.000
far	0.000	0.000	0.084	0.604	0.000	0.000	0.313
light	0.781	0.031	0.188	0.000	0.000	0.000	0.000
brought	0.000	1.000	0.000	0.000	0.000	0.000	0.000
white	0.097	0.000	0.903	0.000	0.000	0.000	0.000
half	0.052	0.000	0.000	0.022	0.000	0.000	0.926
whose	0.000	0.000	0.000	0.000	0.000	0.000	1.000
field	0.992	0.008	0.000	0.000	0.000	0.000	0.000
ago	0.000	0.000	0.000	1.000	0.000	0.000	0.000
became	0.000	1.000	0.000	0.000	0.000	0.000	0.000
known	0.000	1.000	0.000	0.000	0.000	0.000	0.000
moment	1.000	0.000	0.000	0.000	0.000	0.000	0.000
available	0.000	0.000	1.000	0.000	0.000	0.000	0.000
service	0.984	0.016	0.000	0.000	0.000	0.000	0.000
early	0.014	0.000	0.683	0.303	0.000	0.000	0.000
heard	0.028	0.972	0.000	0.000	0.000	0.000	0.000
problems	1.000	0.000	0.000	0.000	0.000	0.000	0.000
open	0.013	0.180	0.780	0.026	0.000	0.000	0.000
reason	0.988	0.013	0.000	0.000	0.000	0.000	0.000
2	0.000	0.000	0.000	0.000	0.000	0.004	0.996
boy	0.992	0.000	0.000	0.000	0.000	0.000	0.008
position	0.983	0.017	0.000	0.000	0.000	0.000	0.000
areas	1.000	0.000	0.000	0.000	0.000	0.000	0.000
job	1.000	0.000	0.000	0.000	0.000	0.000	0.000
real	0.000	0.000	0.932	0.000	0.000	0.000	0.068
better	0.000	0.015	0.570	0.406	0.000	0.000	0.010
question	0.932	0.068	0.000	0.000	0.000	0.000	0.000
making	0.083	0.917	0.000	0.000	0.000	0.000	0.000
special	0.017	0.000	0.983	0.000	0.000	0.000	0.000
behind	0.008	0.000	0.000	0.105	0.000	0.888	0.000
seem	0.000	1.000	0.000	0.000	0.000	0.000	0.000
wife	1.000	0.000	0.000	0.000	0.000	0.000	0.000
am	0.038	0.962	0.000	0.000	0.000	0.000	0.000
miss	0.919	0.081	0.000	0.000	0.000	0.000	0.000
really	0.000	0.000	0.000	0.821	0.000	0.000	0.179
wanted	0.000	1.000	0.000	0.000	0.000	0.000	0.000
present	0.117	0.104	0.597	0.171	0.000	0.000	0.011
sure	0.000	0.000	0.858	0.142	0.000	0.000	0.000
church	1.000	0.000	0.000	0.000	0.000	0.000	0.000
free	0.000	0.045	0.914	0.041	0.000	0.000	0.000
economic	0.000	0.000	1.000	0.000	0.000	0.000	0.000
right	0.295	0.000	0.366	0.130	0.000	0.000	0.209
certain	0.000	0.000	0.706	0.000	0.000	0.000	0.294
major	0.031	0.004	0.965	0.000	0.000	0.000	0.000
sometimes	0.000	0.000	0.000	1.000	0.000	0.000	0.000
voice	1.000	0.000	0.000	0.000	0.000	0.000	0.000
full	0.004	0.000	0.961	0.022	0.000	0.000	0.013
company	1.000	0.000	0.000	0.000	0.000	0.000	0.000
necessary	0.000	0.000	1.000	0.000	0.000	0.000	0.000
true	0.004	0.000	0.952	0.044	0.000	0.000	0.000
community	1.000	0.000	0.000	0.000	0.000	0.000	0.000
able	0.000	0.000	1.000	0.000	0.000	0.000	0.000
air	1.000	0.000	0.000	0.000	0.000	0.000	0.000
national	0.014	0.000	0.986	0.000	0.000	0.000	0.000
policy	1.000	0.000	0.000	0.000	0.000	0.000	0.000
provide	0.000	1.000	0.000	0.000	0.000	0.000	0.000
woman	0.995	0.005	0.000	0.000	0.000	0.000	0.000
age	0.991	0.009	0.000	0.000	0.000	0.000	0.000
office	1.000	0.000	0.000	0.000	0.000	0.000	0.000
child	1.000	0.000	0.000	0.000	0.000	0.000	0.000
six	0.005	0.000	0.000	0.000	0.000	0.000	0.995
stood	0.000	1.000	0.000	0.000	0.000	0.000	0.000
girl	1.000	0.000	0.000	0.000	0.000	0.000	0.000
help	0.305	0.692	0.000	0.000	0.000	0.000	0.003
students	1.000	0.000	0.000	0.000	0.000	0.000	0.000
morning	0.995	0.000	0.000	0.000	0.000	0.000	0.005
usually	0.000	0.000	0.000	1.000	0.000	0.000	0.000
rate	0.981	0.019	0.000	0.000	0.000	0.000	0.000
therefore	0.000	0.000	0.000	1.000	0.000	0.000	0.000
million	0.000	0.000	0.000	0.000	0.000	0.000	1.000
evidence	0.995	0.005	0.000	0.000	0.000	0.000	0.000
means	0.663	0.337	0.000	0.000	0.000	0.000	0.000
show	0.263	0.737	0.000	0.000	0.000	0.000	0.000
common	0.034	0.000	0.966	0.000	0.000	0.000	0.000
feel	0.069	0.931	0.000	0.000	0.000	0.000	0.000
music	1.000	0.000	0.000	0.000	0.000	0.000	0.000
believe	0.000	1.000	0.000	0.000	0.000	0.000	0.000
study	0.833	0.167	0.000	0.000	0.000	0.000	0.000
soon	0.000	0.000	0.000	1.000	0.000	0.000	0.000
along	0.000	0.000	0.000	0.441	0.000	0.559	0.000
town	1.000	0.000	0.000	0.000	0.000	0.000	0.000
effect	0.925	0.075	0.000	0.000	0.000	0.000	0.000
result	0.807	0.193	0.000	0.000	0.000	0.000	0.000
says	0.015	0.985	0.000	0.000	0.000	0.000	0.000
strong	0.005	0.000	0.980	0.015	0.000	0.000	0.000
value	0.995	0.005	0.000	0.000	0.000	0.000	0.000
clear	0.000	0.064	0.895	0.041	0.000	0.000	0.000
lines	0.995	0.005	0.000	0.000	0.000	0.000	0.000
situation	1.000	0.000	0.000	0.000	0.000	0.000	0.000
land	0.956	0.044	0.000	0.000	0.000	0.000	0.000
level	0.920	0.009	0.071	0.000	0.000	0.000	0.000
nor	0.000	0.000	0.000	0.000	0.000	0.000	1.000
gone	0.000	1.000	0.000	0.000	0.000	0.000	0.000
society	1.000	0.000	0.000	0.000	0.000	0.000	0.000
started	0.000	1.000	0.000	0.000	0.000	0.000	0.000
minutes	1.000	0.000	0.000	0.000	0.000	0.000	0.000
surface	0.965	0.000	0.035	0.000	0.000	0.000	0.000
following	0.072	0.869	0.000	0.000	0.000	0.059	0.000
mother	0.995	0.005	0.000	0.000	0.000	0.000	0.000
personal	0.000	0.000	1.000	0.000	0.000	0.000	0.000
finally	0.000	0.000	0.000	1.000	0.000	0.000	0.000
idea	1.000	0.000	0.000	0.000	0.000	0.000	0.000
leave	0.045	0.955	0.000	0.000	0.000	0.000	0.000
modern	0.000	0.000	1.000	0.000	0.000	0.000	0.000
party	0.995	0.005	0.000	0.000	0.000	0.000	0.000
process	0.995	0.005	0.000	0.000	0.000	0.000	0.000
type	0.990	0.010	0.000	0.000	0.000	0.000	0.000
short	0.014	0.000	0.918	0.068	0.000	0.000	0.000
either	0.000	0.000	0.000	0.113	0.222	0.000	0.665
months	1.000	0.000	0.000	0.000	0.000	0.000	0.000
schools	1.000	0.000	0.000	0.000	0.000	0.000	0.000
above	0.000	0.000	0.074	0.291	0.000	0.635	0.000
alone	0.000	0.000	0.036	0.964	0.000	0.000	0.000
military	0.065	0.000	0.935	0.000	0.000	0.000	0.000
that's	0.000	1.000	0.000	0.000	0.000	0.000	0.000
art	0.969	0.031	0.000	0.000	0.000	0.000	0.000
everything	0.000	0.000	0.000	0.000	0.000	0.000	1.000
kept	0.000	1.000	0.000	0.000	0.000	0.000	0.000
women	1.000	0.000	0.000	0.000	0.000	0.000	0.000
basis	1.000	0.000	0.000	0.000	0.000	0.000	0.000
century	1.000	0.000	0.000	0.000	0.000	0.000	0.000
expected	0.000	1.000	0.000	0.000	0.000	0.000	0.000
nature	1.000	0.000	0.000	0.000	0.000	0.000	0.000
private	0.021	0.000	0.979	0.000	0.000	0.000	0.000
control	0.867	0.133	0.000	0.000	0.000	0.000	0.000
values	0.984	0.016	0.000	0.000	0.000	0.000	0.000
moved	0.000	1.000	0.000	0.000	0.000	0.000	0.000
pressure	0.995	0.005	0.000	0.000	0.000	0.000	0.000
