#WORD	noun	verb	adjective	adverb
walked	0	1	0	0
bring	0	1	0	0
mean	0	0	0	0
simple	0	0	1	0
floor	1	0	0	0
passed	0	1	0	0
run	0	0	0	0
sort	0	0	0	0
along	0	0	0	1
costs	0	0	0	0
similar	0	0	1	0
cent	1	0	0	0
live	0	0	0	0
trying	0	0	0	0
wasn't	0	1	0	0
written	0	1	0	0
hear	0	1	0	0
suddenly	0	0	0	1
natural	0	0	1	0
paper	0	0	0	0
considered	0	1	0	0
figure	0	0	0	0
growth	1	0	0	0
sat	0	1	0	0
story	1	0	0	0
black	0	0	0	0
dark	0	0	0	0
happened	0	1	0	0
working	0	1	0	0
you're	0	1	0	0
countries	1	0	0	0
entire	0	0	1	0
hair	1	0	0	0
property	1	0	0	0
difference	1	0	0	0
individual	0	0	0	0
street	1	0	0	0
table	0	0	0	0
cases	1	0	0	0
friends	1	0	0	0
production	1	0	0	0
purpose	1	0	0	0
william	1	0	0	0
effort	1	0	0	0
hour	1	0	0	0
indeed	0	0	0	1
knowledge	1	0	0	0
hold	0	0	0	0
involved	0	1	0	0
paid	0	1	0	0
sent	0	1	0	0
turn	0	0	0	0
various	0	0	1	0
certainly	0	0	0	1
ideas	1	0	0	0
increased	0	1	0	0
low	0	0	0	0
using	0	1	0	0
final	0	0	0	0
front	0	0	0	0
letter	1	0	0	0
wall	0	0	0	0
addition	1	0	0	0
amount	0	0	0	0
decided	0	1	0	0
especially	0	0	0	1
fine	0	0	0	0
forces	0	0	0	0
meet	0	0	0	0
range	0	0	0	0
rather	0	0	0	1
ready	0	0	0	0
showed	0	1	0	0
son	1	0	0	0
statement	1	0	0	0
weeks	1	0	0	0
yes	0	0	0	1
higher	0	0	0	0
market	1	0	0	0
police	1	0	0	0
section	1	0	0	0
states	0	0	0	0
cold	0	0	0	0
foreign	0	0	1	0
girls	1	0	0	0
stock	0	0	0	0
hard	0	0	0	0
remember	0	1	0	0
food	1	0	0	0
programs	1	0	0	0
research	1	0	0	0
understand	0	1	0	0
boys	1	0	0	0
try	0	0	0	0
appeared	0	1	0	0
comes	0	1	0	0
concerned	0	1	0	0
moral	0	0	0	0
population	1	0	0	0
questions	0	0	0	0
rest	0	0	0	0
bill	1	0	0	0
call	0	0	0	0
peace	1	0	0	0
ran	0	1	0	0
bad	0	0	0	0
continued	0	1	0	0
directly	0	0	0	1
maybe	0	0	0	1
member	1	0	0	0
methods	1	0	0	0
move	0	0	0	0
normal	0	0	0	0
size	0	0	0	0
direction	1	0	0	0
future	0	0	0	0
literature	1	0	0	0
provided	0	1	0	0
strength	1	0	0	0
color	0	0	0	0
feeling	0	0	0	0
friend	1	0	0	0
husband	1	0	0	0
led	0	1	0	0
opened	0	1	0	0
summer	1	0	0	0
temperature	1	0	0	0
total	0	0	0	0
kennedy	1	0	0	0
late	0	0	0	0
merely	0	0	0	1
method	1	0	0	0
month	1	0	0	0
pay	0	0	0	0
trouble	0	0	0	0
issue	0	0	0	0
lay	0	0	0	0
met	0	0	0	0
stopped	0	1	0	0
top	0	0	0	0
chance	0	0	0	0
congress	1	0	0	0
effective	0	0	1	0
evening	1	0	0	0
generally	0	0	0	1
physical	0	0	1	0
piece	0	0	0	0
sales	1	0	0	0
worked	0	1	0	0
bed	1	0	0	0
consider	0	1	0	0
efforts	1	0	0	0
results	0	0	0	0
likely	0	0	0	0
lot	1	0	0	0
placed	0	1	0	0
president	1	0	0	0
services	0	0	0	0
sound	0	0	0	0
systems	1	0	0	0
theory	1	0	0	0
ways	1	0	0	0
carried	0	1	0	0
defense	1	0	0	0
degree	1	0	0	0
i've	0	1	0	0
list	0	0	0	0
apparently	0	0	0	1
beautiful	0	0	1	0
groups	1	0	0	0
longer	0	0	0	0
manner	1	0	0	0
movement	1	0	0	0
numbers	0	0	0	0
points	0	0	0	0
support	0	0	0	0
treatment	1	0	0	0
ask	0	1	0	0
he's	0	1	0	0
hot	0	0	1	0
recently	0	0	0	1
record	0	0	0	0
truth	1	0	0	0
clearly	0	0	0	1
couple	1	0	0	0
forms	0	0	0	0
freedom	1	0	0	0
larger	0	0	1	0
meeting	0	0	0	0
performance	1	0	0	0
series	1	0	0	0
game	0	0	0	0
persons	1	0	0	0
subject	0	0	0	0
trade	0	0	0	0
america	1	0	0	0
described	0	1	0	0
opportunity	1	0	0	0
reaction	1	0	0	0
running	0	0	0	0
based	0	1	0	0
blood	1	0	0	0
decision	1	0	0	0
determined	0	1	0	0
eye	1	0	0	0
red	0	0	0	0
respect	0	0	0	0
window	1	0	0	0
additional	0	0	1	0
changes	0	0	0	0
george	1	0	0	0
international	0	0	0	0
labor	0	0	0	0
nation	1	0	0	0
nations	1	0	0	0
reported	0	1	0	0
served	0	1	0	0
appear	0	1	0	0
character	1	0	0	0
image	1	0	0	0
j.	1	0	0	0
man's	1	0	0	0
medical	0	0	1	0
technical	0	0	1	0
trial	1	0	0	0
earth	1	0	0	0
gun	0	0	0	0
immediately	0	0	0	1
plant	0	0	0	0
religion	1	0	0	0
responsibility	1	0	0	0
volume	1	0	0	0
audience	1	0	0	0
fiscal	0	0	1	0
lived	0	1	0	0
obtained	0	1	0	0
returned	0	1	0	0
slowly	0	0	0	1
wide	0	0	0	0
wrong	0	0	0	0
activity	1	0	0	0
christian	0	0	0	0
gives	0	1	0	0
length	1	0	0	0
quality	1	0	0	0
report	0	0	0	0
serious	0	0	1	0
specific	0	0	1	0
steps	0	0	0	0
talk	0	0	0	0
arms	1	0	0	0
corner	1	0	0	0
court	0	0	0	0
federal	0	0	1	0
include	0	1	0	0
industrial	0	0	1	0
letters	1	0	0	0
nuclear	0	0	1	0
ones	1	0	0	0
plane	0	0	0	0
types	1	0	0	0
cars	1	0	0	0
due	0	0	0	0
hall	1	0	0	0
horse	1	0	0	0
increase	0	0	0	0
influence	0	0	0	0
learned	0	0	0	0
meaning	0	0	0	0
nearly	0	0	0	1
obviously	0	0	0	1
pattern	0	0	0	0
saying	0	0	0	0
student	1	0	0	0
easy	0	0	0	0
radio	0	0	0	0
science	1	0	0	0
extent	1	0	0	0
farm	0	0	0	0
play	0	0	0	0
speak	0	1	0	0
parts	1	0	0	0
step	0	0	0	0
ahead	0	0	0	1
central	0	0	1	0
direct	0	0	0	0
expect	0	1	0	0
heavy	0	0	1	0
importance	1	0	0	0
indicated	0	1	0	0
progress	0	0	0	0
stand	0	0	0	0
activities	1	0	0	0
cities	1	0	0	0
continue	0	1	0	0
designed	0	1	0	0
determine	0	1	0	0
distance	1	0	0	0
established	0	1	0	0
function	0	0	0	0
growing	0	0	0	0
language	1	0	0	0
lower	0	0	0	0
serve	0	1	0	0
there's	0	0	0	0
afternoon	1	0	0	0
aj	1	0	0	0
answer	0	0	0	0
applied	0	1	0	0
ball	1	0	0	0
effects	1	0	0	0
existence	1	0	0	0
faith	1	0	0	0
leaders	1	0	0	0
organization	1	0	0	0
particularly	0	0	0	1
principle	0	0	0	0
remained	0	1	0	0
write	0	1	0	0
a.	0	0	0	0
aid	0	0	0	0
attitude	1	0	0	0
closed	0	1	0	0
design	0	0	0	0
negro	1	0	0	0
pool	0	0	0	0
season	1	0	0	0
spring	0	0	0	0
thinking	0	0	0	0
approach	0	0	0	0
becomes	0	1	0	0
charge	0	0	0	0
choice	0	0	0	0
covered	0	1	0	0
easily	0	0	0	1
elements	1	0	0	0
further	0	0	0	0
limited	0	1	0	0
married	0	1	0	0
moving	0	0	0	0
operation	1	0	0	0
poor	0	0	1	0
role	1	0	0	0
spent	0	1	0	0
administration	1	0	0	0
factors	0	0	0	0
hope	0	0	0	0
mouth	1	0	0	0
played	0	1	0	0
price	0	0	0	0
return	0	0	0	0
suggested	0	0	0	0
waiting	0	0	0	0
will	0	0	0	0
built	0	1	0	0
hit	0	0	0	0
prepared	0	1	0	0
scene	1	0	0	0
start	0	0	0	0
teeth	1	0	0	0
analysis	1	0	0	0
born	0	0	0	0
dropped	0	1	0	0
english	0	0	0	0
related	0	1	0	0
sun	0	0	0	0
u.s.	1	0	0	0
events	1	0	0	0
figures	0	0	0	0
interested	0	0	0	0
meant	0	1	0	0
staff	0	0	0	0
actual	0	0	1	0
filled	0	1	0	0
hadn't	0	1	0	0
knows	0	1	0	0
main	0	0	0	0
original	0	0	0	0
past	0	0	0	0
raised	0	1	0	0
reasons	0	0	0	0
talking	0	0	0	0
caught	0	1	0	0
machine	1	0	0	0
march	0	0	0	0
plans	0	0	0	0
sides	1	0	0	0
style	1	0	0	0
close	0	0	0	0
date	0	0	0	0
doubt	0	0	0	0
entered	0	1	0	0
exactly	0	0	0	1
follow	0	1	0	0
forward	0	0	0	0
included	0	1	0	0
institutions	1	0	0	0
isn't	0	1	0	0
rates	0	0	0	0
stay	0	0	0	0
suppose	0	1	0	0
considerable	0	0	1	0
dollars	1	0	0	0
fear	0	0	0	0
glass	1	0	0	0
lack	0	0	0	0
popular	0	0	1	0
professional	0	0	0	0
stress	0	0	0	0
techniques	1	0	0	0
unit	1	0	0	0
accepted	0	1	0	0
behavior	1	0	0	0
c	1	0	0	0
changed	0	1	0	0
clay	1	0	0	0
gas	0	0	0	0
income	1	0	0	0
officer	1	0	0	0
opinion	1	0	0	0
products	1	0	0	0
proper	0	0	1	0
radiation	1	0	0	0
standing	0	0	0	0
studies	0	0	0	0
thomas	1	0	0	0
trees	1	0	0	0
act	0	0	0	0
books	1	0	0	0
building	0	0	0	0
cattle	1	0	0	0
energy	1	0	0	0
england	1	0	0	0
giving	0	0	0	0
justice	1	0	0	0
race	0	0	0	0
status	1	0	0	0
stop	0	0	0	0
successful	0	0	1	0
test	0	0	0	0
bit	0	0	0	0
europe	1	0	0	0
facilities	1	0	0	0
happy	0	0	0	0
hardly	0	0	0	1
june	1	0	0	0
sir	1	0	0	0
sunday	1	0	0	0
tradition	1	0	0	0
arm	0	0	0	0
james	1	0	0	0
marriage	1	0	0	0
materials	1	0	0	0
obvious	0	0	1	0
older	0	0	1	0
pieces	1	0	0	0
relations	1	0	0	0
remain	0	1	0	0
sitting	0	0	0	0
station	1	0	0	0
usual	0	0	0	0
americans	1	0	0	0
construction	1	0	0	0
dinner	1	0	0	0
fell	0	0	0	0
film	0	0	0	0
frequently	0	0	0	1
funds	1	0	0	0
leadership	1	0	0	0
news	1	0	0	0
places	0	0	0	0
reach	0	0	0	0
success	1	0	0	0
weight	1	0	0	0
c.	1	0	0	0
caused	0	1	0	0
deal	0	0	0	0
french	0	0	0	0
kitchen	1	0	0	0
may	1	0	0	0
needs	0	0	0	0
produced	0	1	0	0
source	1	0	0	0
thin	0	0	0	0
university	1	0	0	0
annual	0	0	0	0
clothes	1	0	0	0
develop	0	1	0	0
discussion	1	0	0	0
famous	0	0	1	0
goes	0	1	0	0
heat	0	0	0	0
mike	1	0	0	0
noted	0	1	0	0
parents	1	0	0	0
published	0	1	0	0
purposes	1	0	0	0
quickly	0	0	0	1
works	0	0	0	0
add	0	1	0	0
announced	0	1	0	0
carry	0	1	0	0
enemy	1	0	0	0
health	1	0	0	0
jack	1	0	0	0
laws	1	0	0	0
leaving	0	1	0	0
moreover	0	0	0	1
names	0	0	0	0
pain	1	0	0	0
account	0	0	0	0
carefully	0	0	0	1
charles	1	0	0	0
companies	1	0	0	0
doctor	1	0	0	0
doesn't	0	1	0	0
failure	1	0	0	0
oil	1	0	0	0
possibility	1	0	0	0
relationship	1	0	0	0
structure	0	0	0	0
wish	0	0	0	0
above	0	0	0	0
care	0	0	0	0
christ	1	0	0	0
condition	0	0	0	0
died	0	1	0	0
greatest	0	0	1	0
otherwise	0	0	0	1
require	0	1	0	0
spoke	0	0	0	0
allowed	0	1	0	0
deep	0	0	0	0
facts	1	0	0	0
finished	0	1	0	0
fixed	0	1	0	0
jazz	1	0	0	0
management	1	0	0	0
operating	0	1	0	0
poetry	1	0	0	0
significant	0	0	1	0
stated	0	1	0	0
stations	1	0	0	0
takes	0	1	0	0
appears	0	1	0	0
aware	0	0	1	0
begin	0	1	0	0
blue	0	0	0	0
british	0	0	0	0
circumstances	1	0	0	0
concern	0	0	0	0
hotel	1	0	0	0
impossible	0	0	1	0
loss	1	0	0	0
marked	0	0	0	0
named	0	1	0	0
philosophy	1	0	0	0
playing	0	0	0	0
reading	0	0	0	0
seeing	0	1	0	0
sex	1	0	0	0
strange	0	0	1	0
training	0	0	0	0
variety	1	0	0	0
assistance	1	0	0	0
authority	1	0	0	0
beginning	0	0	0	0
capacity	1	0	0	0
churches	1	0	0	0
concept	1	0	0	0
e.	1	0	0	0
financial	0	0	1	0
learn	0	1	0	0
offered	0	1	0	0
prevent	0	1	0	0
remembered	0	1	0	0
yesterday	1	0	0	0
bridge	0	0	0	0
broad	0	0	0	0
build	0	0	0	0
collection	1	0	0	0
committee	1	0	0	0
equal	0	0	0	0
instance	1	0	0	0
interesting	0	0	1	0
officers	1	0	0	0
presented	0	1	0	0
proposed	0	1	0	0
records	0	0	0	0
sight	0	0	0	0
understanding	0	0	0	0
active	0	0	0	0
agreed	0	1	0	0
cells	1	0	0	0
created	0	1	0	0
current	0	0	0	0
event	1	0	0	0
forced	0	1	0	0
interests	0	0	0	0
lead	0	0	0	0
mass	0	0	0	0
provides	0	1	0	0
robert	1	0	0	0
scientific	0	0	1	0
team	1	0	0	0
units	1	0	0	0
wait	0	0	0	0
watched	0	1	0	0
workers	1	0	0	0
a	1	0	0	0
balance	0	0	0	0
henry	1	0	0	0
houses	0	0	0	0
immediate	0	0	1	0
inches	1	0	0	0
indicate	0	1	0	0
mary	1	0	0	0
practice	0	0	0	0
press	0	0	0	0
product	1	0	0	0
recognized	0	1	0	0
sources	1	0	0	0
winter	1	0	0	0
agreement	1	0	0	0
apartment	1	0	0	0
atmosphere	1	0	0	0
citizens	1	0	0	0
explained	0	1	0	0
fresh	0	0	1	0
london	1	0	0	0
manager	1	0	0	0
mentioned	0	1	0	0
primary	0	0	0	0
project	0	0	0	0
reality	1	0	0	0
reduced	0	1	0	0
regular	0	0	1	0
subjects	0	0	0	0
w.	1	0	0	0
attack	0	0	0	0
capital	0	0	0	0
cause	0	0	0	0
differences	1	0	0	0
distribution	1	0	0	0
economy	0	0	0	0
enter	0	1	0	0
expression	1	0	0	0
hell	1	0	0	0
operations	1	0	0	0
picked	0	1	0	0
requirements	1	0	0	0
river	1	0	0	0
sea	0	0	0	0
studied	0	1	0	0
teacher	1	0	0	0
traditional	0	0	1	0
trip	0	0	0	0
union	1	0	0	0
while	0	0	0	0
believed	0	1	0	0
bottom	0	0	0	0
bright	0	0	0	0
demand	0	0	0	0
district	1	0	0	0
essential	0	0	0	0
hospital	1	0	0	0
laid	0	1	0	0
literary	0	0	1	0
neck	0	0	0	0
poems	1	0	0	0
response	1	0	0	0
session	1	0	0	0
shape	0	0	0	0
smaller	0	0	1	0
tone	0	0	0	0
writing	0	0	0	0
youth	1	0	0	0
base	0	0	0	0
bottle	1	0	0	0
classes	1	0	0	0
coffee	1	0	0	0
crisis	1	0	0	0
difficulty	1	0	0	0
director	1	0	0	0
earlier	0	0	0	0
edge	0	0	0	0
formed	0	1	0	0
memory	1	0	0	0
musical	0	0	0	0
previous	0	0	0	0
receive	0	1	0	0
sam	1	0	0	0
ship	0	0	0	0
speed	0	0	0	0
t	1	0	0	0
anode	1	0	0	0
battle	0	0	0	0
buildings	1	0	0	0
campaign	0	0	0	0
expressed	0	1	0	0
follows	0	1	0	0
green	0	0	0	0
index	0	0	0	0
killed	0	1	0	0
p	1	0	0	0
patient	0	0	0	0
presence	1	0	0	0
removed	0	1	0	0
square	0	0	0	0
stayed	0	1	0	0
term	0	0	0	0
treated	0	1	0	0
ability	1	0	0	0
catholic	0	0	0	0
election	1	0	0	0
faculty	1	0	0	0
failed	0	1	0	0
features	0	0	0	0
nice	0	0	0	0
november	1	0	0	0
observed	0	1	0	0
s.	1	0	0	0
security	1	0	0	0
selected	0	1	0	0
twice	0	0	0	1
watching	0	0	0	0
advantage	1	0	0	0
discovered	0	1	0	0
individuals	1	0	0	0
nevertheless	0	0	0	1
produce	0	0	0	0
pulled	0	1	0	0
send	0	1	0	0
sign	0	0	0	0
accept	0	1	0	0
allow	0	1	0	0
assumed	0	1	0	0
brown	0	0	0	0
familiar	0	0	1	0
france	1	0	0	0
increasing	0	1	0	0
knife	1	0	0	0
note	0	0	0	0
platform	1	0	0	0
pointed	0	0	0	0
positive	0	0	0	0
powers	0	0	0	0
remains	0	0	0	0
rules	0	0	0	0
shows	0	0	0	0
somehow	0	0	0	1
standards	1	0	0	0
attempt	0	0	0	0
brother	1	0	0	0
chosen	0	1	0	0
compared	0	1	0	0
corporation	1	0	0	0
county	1	0	0	0
daughter	1	0	0	0
fall	0	0	0	0
fields	0	0	0	0
forth	0	0	0	1
items	1	0	0	0
legal	0	0	1	0
morgan	1	0	0	0
planned	0	1	0	0
procedure	1	0	0	0
proved	0	1	0	0
region	1	0	0	0
sharp	0	0	0	0
smiled	0	1	0	0
wine	0	0	0	0
writer	1	0	0	0
writers	1	0	0	0
detail	0	0	0	0
dog	1	0	0	0
drawn	0	1	0	0
factor	1	0	0	0
h.	1	0	0	0
historical	0	0	1	0
murder	0	0	0	0
personnel	0	0	0	0
principal	0	0	0	0
responsible	0	0	1	0
rich	0	0	0	0
turning	0	0	0	0
vocational	0	0	0	0
waited	0	1	0	0
walls	1	0	0	0
worth	0	0	0	0
april	1	0	0	0
boat	1	0	0	0
carrying	0	0	0	0
claim	0	0	0	0
club	1	0	0	0
completed	0	1	0	0
contrast	0	0	0	0
division	1	0	0	0
frame	0	0	0	0
jones	1	0	0	0
let's	0	1	0	0
lips	1	0	0	0
looks	0	0	0	0
naturally	0	0	0	1
ordered	0	1	0	0
ordinary	0	0	0	0
realize	0	1	0	0
realized	0	1	0	0
reports	0	0	0	0
resources	1	0	0	0
richard	1	0	0	0
rights	1	0	0	0
seek	0	1	0	0
settled	0	1	0	0
solid	0	0	0	0
willing	0	0	1	0
actions	1	0	0	0
address	0	0	0	0
animal	1	0	0	0
bar	0	0	0	0
beauty	1	0	0	0
buy	0	0	0	0
connection	1	0	0	0
danger	1	0	0	0
desire	0	0	0	0
directed	0	1	0	0
dogs	0	0	0	0
excellent	0	0	1	0
foot	1	0	0	0
horses	1	0	0	0
khrushchev	1	0	0	0
leading	0	1	0	0
mercer	1	0	0	0
monday	1	0	0	0
north	1	0	0	0
offer	0	0	0	0
planning	0	0	0	0
poet	1	0	0	0
sections	1	0	0	0
train	0	0	0	0
answered	0	1	0	0
appropriate	0	0	0	0
asking	0	1	0	0
career	1	0	0	0
emotional	0	0	1	0
families	1	0	0	0
impact	1	0	0	0
independent	0	0	1	0
initial	0	0	1	0
inside	0	0	0	0
jr.	1	0	0	0
legs	1	0	0	0
levels	0	0	0	0
membership	1	0	0	0
occurred	0	1	0	0
practical	0	0	1	0
principles	1	0	0	0
reference	1	0	0	0
russian	0	0	0	0
sit	0	1	0	0
starting	0	0	0	0
statements	1	0	0	0
teachers	1	0	0	0
telephone	0	0	0	0
upper	0	0	1	0
won	0	1	0	0
adequate	0	0	1	0
aside	0	0	0	1
b.	1	0	0	0
b	1	0	0	0
background	1	0	0	0
broke	0	0	0	0
camp	0	0	0	0
capable	0	0	1	0
communication	1	0	0	0
dance	0	0	0	0
declared	0	1	0	0
employees	1	0	0	0
fingers	1	0	0	0
helped	0	1	0	0
jewish	0	0	1	0
leader	1	0	0	0
maximum	0	0	0	0
measured	0	1	0	0
permit	0	0	0	0
politics	1	0	0	0
